timestamp,service,metric,value
10:42:00,auth,p95_latency_ms,180
10:42:05,auth,p95_latency_ms,182
10:42:10,auth,p95_latency_ms,179
10:42:15,auth,p95_latency_ms,181
10:42:18,auth,p95_latency_ms,620
10:42:23,auth,p95_latency_ms,635
10:42:28,auth,p95_latency_ms,610
10:42:33,auth,p95_latency_ms,625
10:42:00,gateway,p95_latency_ms,240
10:42:05,gateway,p95_latency_ms,245
10:42:10,gateway,p95_latency_ms,238
10:42:15,gateway,p95_latency_ms,241
10:42:20,gateway,p95_latency_ms,252
10:42:31,gateway,p95_latency_ms,790
10:42:36,gateway,p95_latency_ms,810
10:42:41,gateway,p95_latency_ms,785
10:42:00,checkout,error_rate_pct,0.2
10:42:05,checkout,error_rate_pct,0.2
10:42:10,checkout,error_rate_pct,0.3
10:42:15,checkout,error_rate_pct,0.2
10:42:30,checkout,error_rate_pct,0.4
10:42:47,checkout,error_rate_pct,3.9
10:42:52,checkout,error_rate_pct,4.1
10:42:57,checkout,error_rate_pct,3.7
10:42:00,checkout,virtual_users,50
10:42:05,checkout,virtual_users,75
10:42:10,checkout,virtual_users,100
10:42:15,checkout,virtual_users,125
10:42:20,checkout,virtual_users,150
10:42:25,checkout,virtual_users,175
10:42:30,checkout,virtual_users,200
10:42:35,checkout,virtual_users,225
10:42:00,checkout,throughput_rps,480
10:42:05,checkout,throughput_rps,710
10:42:10,checkout,throughput_rps,930
10:42:15,checkout,throughput_rps,1120
10:42:20,checkout,throughput_rps,1170
10:42:25,checkout,throughput_rps,1185
10:42:30,checkout,throughput_rps,1180
10:42:35,checkout,throughput_rps,1175
