timestamp,service,metric,value
2024-04-10T08:05:00Z,primary_database,query_cpu_pct,40
2024-04-10T08:10:00Z,primary_database,query_cpu_pct,42
2024-04-10T08:18:00Z,primary_database,query_cpu_pct,96
2024-04-10T08:23:00Z,primary_database,query_cpu_pct,99
2024-04-10T08:28:00Z,primary_database,query_cpu_pct,98
2024-04-10T08:33:00Z,primary_database,query_cpu_pct,97
2024-04-10T08:05:00Z,primary_database,p95_query_latency_ms,90
2024-04-10T08:10:00Z,primary_database,p95_query_latency_ms,95
2024-04-10T08:18:00Z,primary_database,p95_query_latency_ms,1800
2024-04-10T08:23:00Z,primary_database,p95_query_latency_ms,2400
2024-04-10T08:28:00Z,primary_database,p95_query_latency_ms,2600
2024-04-10T08:33:00Z,primary_database,p95_query_latency_ms,2300
2024-04-10T08:18:00Z,github_api,timeout_rate_pct,0.4
2024-04-10T08:23:00Z,github_api,timeout_rate_pct,3.5
2024-04-10T08:28:00Z,github_api,timeout_rate_pct,7.5
2024-04-10T08:33:00Z,github_api,timeout_rate_pct,8.0
2024-04-10T08:38:00Z,github_api,timeout_rate_pct,6.0
2024-04-10T08:43:00Z,github_api,timeout_rate_pct,2.0
2024-04-10T08:18:00Z,github_actions,workflow_delay_minutes,2
2024-04-10T08:23:00Z,github_actions,workflow_delay_minutes,8
2024-04-10T08:28:00Z,github_actions,workflow_delay_minutes,25
2024-04-10T08:33:00Z,github_actions,workflow_delay_minutes,40
2024-04-10T08:38:00Z,github_actions,workflow_delay_minutes,38
2024-04-10T08:43:00Z,github_actions,workflow_delay_minutes,20
2024-04-10T08:18:00Z,pages,deployment_failure_pct,0.2
2024-04-10T08:23:00Z,pages,deployment_failure_pct,8
2024-04-10T08:28:00Z,pages,deployment_failure_pct,85
2024-04-10T08:33:00Z,pages,deployment_failure_pct,92
2024-04-10T08:38:00Z,pages,deployment_failure_pct,60
2024-04-10T08:43:00Z,pages,deployment_failure_pct,20
